id,sex,group,m_avg,f_avg,m_self,f_self,m_non,f_non
n031,male,6,0,3,3,2,2.75,2.25
n032,male,7,4,3,3,4,2.8333333,3.1666667
n033,male,7,6,6,3,3,3.5,3.3333333
n034,male,7,4,3,3,4,2.8333333,4
n035,male,8,2,3,2,2,3,1
n036,male,6,1,4,5,4,4.5,3.25
n037,male,7,4,5,2,0,2.3333333,1.8333333
n038,male,6,5,6,6,5,3.25,3
n039,male,6,4,6,1,0,2,3.25
n040,male,7,3,3,5,3,3.1666667,3.1666667
n041,male,10,4,6,2,1,0,0
n042,male,7,4,5,5,1,1.3333333,1.6666667
n043,male,8,3,4,6,4,3,2
n044,male,6,4,5,4,2,3,1.5
n045,male,9,4,5,5,6,3.75,3
n046,male,9,6,6,5,4,3,3
n047,male,9,3,4,5,1,2.25,2.5
n048,male,8,3,4,2,3,2,2
n052,male,10,5,5,3,5,3,4
n053,male,9,6,6,4,5,2.25,2.75
n055,male,11,5,6,3,2,3.5,4.25
n063,male,11,3,4,4,4,3.75,3.75
n064,male,11,4,3,3,0,1,0.75
n065,male,11,4,1,4,5,3.75,4.25
n071,male,11,5,3,5,2,2,2.5
n085,male,17,5,2,3,4,3,2.3333333
n086,male,17,1,4,2,3,3.6666667,2.3333333
n087,male,17,3,2,5,5,3.3333333,3.3333333
n088,male,17,2,4,1,3,2.6666667,2.6666667
n089,male,18,1,1,4,0,4,0.6666667
n091,male,18,5,3,6,2,2.3333333,3.6666667
n094,male,18,3,6,3,6,2,3
n095,male,18,5,5,3,5,3.6666667,2.6666667
n001,female,1,4,4,5,5,3,3.5
n002,female,2,5,4,1,5,2.8333333,2.6666667
n003,female,2,3,3,1,1,3,2.5
n004,female,2,6,4,4,5,3.8333333,3.6666667
n005,female,2,6,6,3,3,2.3333333,4
n006,female,3,5,5,2,2,1.3333333,2.6666667
n007,female,2,3,5,2,3,1.6666667,0.6666667
n008,female,2,3,4,5,3,2.8333333,2.3333333
n009,female,4,3,1,4,2,3.6666667,2.8333333
n010,female,4,2,5,2,0,1.8333333,1.3333333
n011,female,4,1,4,3,1,3,2.1666667
n013,female,4,4,3,3,5,2.8333333,4
n014,female,1,6,5,4,3,2.5,0.75
n016,female,3,2,3,4,4,2,2.6666667
n017,female,1,3,5,2,2,2.5,3.5
n018,female,3,6,4,5,6,4,3.6666667
n019,female,4,1,2,4,5,2.8333333,4.8333333
n020,female,4,3,2,2,3,4.1666667,3.3333333
n021,female,5,1,5,2,2,3.8333333,3
n024,female,5,3,4,5,5,1.6666667,2.6666667
n025,female,1,5,6,5,3,3.25,3.5
n026,female,5,3,6,5,3,2.3333333,2
n027,female,1,5,3,2,3,0.5,0.5
n028,female,5,4,4,4,5,3.5,2.6666667
n029,female,5,5,6,2,3,2.1666667,2.8333333
n030,female,5,1,3,3,3,3.8333333,2.3333333
n056,female,12,5,5,5,6,4.6666667,2.6666667
n057,female,12,2,2,5,6,2,2.3333333
n058,female,12,4,5,3,0,1.3333333,0.6666667
n059,female,12,5,6,1,5,2.6666667,1.3333333
n060,female,13,2,3,4,2,3,2.75
n061,female,13,5,5,4,3,4.5,4
n066,female,13,4,3,4,4,2.75,5
n067,female,14,3,5,2,2,3,4.4
n069,female,13,2,3,4,2,2.75,2
n070,female,14,1,2,2,3,3.4,2.2
n072,female,14,4,5,5,4,4,4.2
n073,female,14,3,1,2,1,2.8,2.4
n074,female,13,3,2,3,1,1.25,2
n075,female,14,2,1,3,3,2.4,3
n077,female,14,2,2,4,2,3,2.8
n078,female,15,6,6,4,0,0,2
n082,female,15,6,6,0,4,1,1
n097,female,20,6,5,3,3,1,0
n098,female,20,3,2,3,4,0,3
